Category,Magento IDs,,,
books,14,,,
about-the-museum,214,,,
exhibition-books,215,,,
ceramics-glass-metalwork-sculpture,216,,,
drawings-paintings-photos-prints,217,,,
fashion-jewellery-textiles,218,,,
furniture-and-interiors,219,,,
theatre-and-performance,220,,,
kids-books,221,,,
gift-ideas,223,,,
jewellery,15,,,
new-jewellery,45,,,
earrings,46,,,
necklaces,47,,,
rings,48,,,
bracelets-and-brooches,49,,,
jewellery-for-men ,51,,,
inspired-by-nature,52,,,
prints,17,,,
new-prints,61,,,
prints,62,,,
limited-edition,63,,,
david-bowie-prints,226,,,
custom-prints,179,,,
arts-and-crafts,187,,,
book-illustrations,188,,,
china-and-japan,189,,,
fashion-prints,190,,,
india,191,,,
landscape,192,,,
nature,193,,,
photography,194,,,
posters,195,,,
fashion,16,,,
new-fashion,53,,,
accessories,54,,,
scarves ,55,,,
bags-totes ,56,,,
ties-cufflinks ,57,,,
clothing,58,,,
homeware,18,,,
stationery,19,,,
new-homeware-products,69,,,
kitchen-dining,70,,,
home-accessories,71,,,
gardening-outdoors,74,,,
arts-and-crafts-at-home,75,,,
calendars-diaries,212,,,
haberdashery,213,,,
exhibition-ranges,13,,,
photography-centre,257,,,
photography-centre-books,258,,,
photography-centre-prints-posters,259,,,
photography-centre-accessories,261,,,
tim-walker-wonderful-things,298,,,
tim-walker-posters,299,,,
tim-walker-stationery-books,300,,,
tim-walker-fashion-accessories,301,,,
cars-accelerating-the-modern-world,302,,,
cars-prints-posters,303,,,
Accessories,304,,,
cars-accessories,305,,,
david-bowie-is,26,,,
gifts,132,,,
william-morris-and-friends,92,,,
gifts-her,133,,,
gifts-him,134,,,
gifts-kids-and-teens,135,,,
