SKU,SKU Type,Product ID Type,Product ID,Product Title,Cost Price,Currency,Master Quantity,Product Description,Bullet Point 1,Bullet Point 2,Bullet Point 3,Bullet Point 4,Bullet Point 5,Variation Item,Item Specifics Name 12,Item Specifics Value 12,Item Specifics Name 13,Item Specifics Value 13,Item Specifics Name 14,Item Specifics Value 14,Item Specifics Name 15,Item Specifics Value 15,Ktype,Make|Model|Year|Variant|Type|Notes,Ktype Notes,Rakuten Account Code,Rakuten Title,Rakuten Description,Rakuten Tagline,Rakuten Standard Price,Rakuten Sale Price,Rakuten Category,Rakuten Shipping Profile,TradeMe Account Code,TradeMe Product Name,TradeMe Description,TradeMe Category,TradeMe BuyNow Price,TradeMe Duration,TradeMe Shipping Profile Code,CDiscount Account Code,CDiscount Product Title,CDiscount Description,CDiscount Category,CDiscount Price,CDiscount RRP,CDiscount EAN,CDiscount Lead Days,CDiscount Launch Quantity,CDiscount Shipping Profile,FNAC Account Code,FNAC Product Title,FNAC Description,FNAC Price,Game Account Code,Game Product Title,Game Description,Game Tagline,Game Standard Price,Game Category,Webstore Account ID,Webstore Product Title,Launch Quantity,Webstore Brand Name,Product Type,Webstore Standard Price,Webstore Sale Price,Webstore Sale Start Date,Webstore Sale End Date,Webstore Category1,Webstore Category2,Webstore Category3,Webstore Category4,Webstore Category5,Webstore Category6,Webstore Category7,Webstore Category8,Webstore Category9,Webstore Category10,Webstore BulletPoint1,Webstore BulletPoint2,Webstore BulletPoint3,Webstore BulletPoint4,Webstore BulletPoint5,Webstore BulletPoint6,Webstore BulletPoint7,Webstore BulletPoint8,Webstore BulletPoint9,Webstore BulletPoint10,Webstore Custom Text 1,Webstore Custom Text 2,Webstore Custom Text 3,Webstore Custom Text 4,Webstore Custom Text 5,Webstore Custom Text 6,Webstore Custom Text 7,Webstore Custom Text 8,Webstore Custom Text 9,Webstore Custom Text 10,Webstore Custom Number 1,Webstore Custom Number 2,Webstore Custom Number 3,Webstore Custom Number 4,Webstore Custom Number 5,Webstore Custom Number 6,Webstore Custom Number 7,Webstore Custom Number 8,Webstore Custom Number 9,Webstore Custom Number 10,Webstore SearchTerms1,Webstore SearchTerms2,Webstore SearchTerms3,Webstore SearchTerms4,Webstore SearchTerms5,Webstore Include Bullet Points from Basic Details,Webstore Include Description from Basic Details,Webstore Product Description,Eligible for Gift wrap,Eligible for Gift message,Lead time to ship,Date Available To Ship,Webstore Accessory Items,Variation Theme,Relationship,Parent SKU,Size,Colour,Custom Variation Name 1,Custom Variation Value 1,Custom Variation Name 2,Custom Variation Value 2,Custom Variation Name 3,Custom Variation Value 3,Custom Variation Name 4,Custom Variation Value 4,Custom Variation Name 5,Custom Variation Value 5,Master SKU,Quantity For Bundle SKU,Main Image,Swatch Image,Additional Image 1,Additional Image 2,Additional Image 3,Additional Image 4,Additional Image 5,Additional Image 6,Additional Image 7,Additional Image 8
2563,Master SKU,EAN,5052979125562,German Renaissance Medals - A Catalogue of the Collection in the V&A Museum,,,0,"<p>As the first book in English on German medals, the catalogue includes a full introduction to the subject, as well as thoroughly researched study of the collection in the Victoria and Albert Museum.</p>",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,German Renaissance Medals - A Catalogue of the Collection in the V&A Museum,0,V&A,,47.5,47.5,03/29/2016 00:00:00,12/25/2018 00:00:00,41,145,,,,,,,,|41|145|,,,,,,,,,,,,29.8 x 21.4 x 1.8 cm,Marjorie Trusted,1997,128,,9781851770137,Hardback,,,,,,,,,,,,,9781851770137 Marjorie Trusted,military naval army artillery europe,,,,,true,"<p>As the first book in English on German medals, the catalogue includes a full introduction to the subject, as well as thoroughly researched study of the collection in the Victoria and Albert Museum.</p>",,,0,2016/06/30 00:00:00,"82721,115546,63629,90388,100462,104294",,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/2563.jpg,,,,,,,,,
3273,Master SKU,EAN,,William De Morgan Tiles,,,0,"This beautifully illustrated book gives a detailed account of the achievements of William De Morgan with essays on his technical innovations. William Frend De Morgan (1839-1917) was a close friend of William Morris for whom he designed some stained glass, tiles and furniture. His ceramics sold through Morris & Co. De Morgan was a skilful designer and a pragmatic potter with a fierce interest in historic techniques and decorative styles.  ",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,William De Morgan Tiles,,V&A,KITCHEN,9.95,9.95,03/29/2016 00:00:00,12/25/2018 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This beautifully illustrated book gives a detailed account of the achievements of William De Morgan with essays on his technical innovations. William Frend De Morgan (1839-1917) was a close friend of William Morris for whom he designed some stained glass, tiles and furniture. His ceramics sold through Morris & Co. De Morgan was a skilful designer and a pragmatic potter with a fierce interest in historic techniques and decorative styles.  ",,,,2016-06-30,,,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/03273_detail.jpg,,,,,,,,,
8385,Master SKU,EAN,5052979145089,Catalogue of Paintings at the Theatre Museum London,,,0,"This is an illustrated catalogue raisonne of the collection of over 100 paintings at the Theatre Museum (National Museum of the Performing Arts, London). It contains works by major artists, including Sir Peter Lely, George Clint, Walter Sickert, Roger Fry and Derek Hill.",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Catalogue of Paintings at the Theatre Museum London,0,V&A,,40,40,,,217,145,,,,,,,,|217|145|,,,,,,,,,,,,27.5 x 20 x 1.7cm,Geoffrey Ashton,1992,128,,9781851771028,Hardback,,,,,,,,,,,,,9781851771028 play performance,Geoffrey Ashton,Catalogue of Paintings at the Theatre Museum London,,,,true,"This is an illustrated catalogue raisonne of the collection of over 100 paintings at the Theatre Museum (National Museum of the Performing Arts, London). It contains works by major artists, including Sir Peter Lely, George Clint, Walter Sickert, Roger Fry and Derek Hill.",,,0,,,,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/8385.jpg,,,,,,,,,
46138,Master SKU,EAN,5052979126477,Pewter at the Victoria and Albert Museum,,,4,"<p>This comprehensive study, based on the extensive collection at the V&amp;A, covers pewterware from a large number of countries, including Britain, France, Italy, the Netherlands, Switzerland, Spain, Scandinavia, China and the USA. The collection is especially rich in continental pieces, and the book features an important series of German guild cups as well as some outstanding late 16th-century French pewter. Both secular and religious works are included, ranging from the late Middle Ages to the present day. Outlining methods of manufacture and tracing the development of the pewter trade, the full introduction also gives a brief history of the V&amp;A collection. The book contains over 200 illustrations, examining many of the pieces in detail and including important inscriptions and marks, while contemporary paintings and engravings place pewter production in historical context. The text is arranged in thematic chapters, such as domestic pewter and 20th-century works, and also features a short section on fakes.</p>",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Pewter at the Victoria and Albert Museum,0,V&A,,35,35,03/29/2016 00:00:00,12/25/2018 00:00:00,37,217,,,,,,,,|37|217|,,,,,,,,,,,,2.3 x 21.6 x 28.4 cm,Anthony North,1999,,,9781851772230,Hardback,,,,,,,,,,,,,9781851772230 Anthony North,,,,,,true,"<p>This comprehensive study, based on the extensive collection at the V&amp;A, covers pewterware from a large number of countries, including Britain, France, Italy, the Netherlands, Switzerland, Spain, Scandinavia, China and the USA. The collection is especially rich in continental pieces, and the book features an important series of German guild cups as well as some outstanding late 16th-century French pewter. Both secular and religious works are included, ranging from the late Middle Ages to the present day. Outlining methods of manufacture and tracing the development of the pewter trade, the full introduction also gives a brief history of the V&amp;A collection. The book contains over 200 illustrations, examining many of the pieces in detail and including important inscriptions and marks, while contemporary paintings and engravings place pewter production in historical context. The text is arranged in thematic chapters, such as domestic pewter and 20th-century works, and also features a short section on fakes.</p>",,,0,2016/06/30 00:00:00,,,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/detail_046138.jpg,,,,,,,,,
47472,Master SKU,EAN,9781851773114,Bells and Mortars,,,0,"The V&amp;A's collection of Italian bronzes is unique in its size, variety and scope. This fully illustrated volume is a complete catalogue of the collection's 75 small bells, mortars and related utensils, such as footed bowls and vases. The pieces are set into the broader context of their history and their domestic, religious or pharmaceutical uses, particularly in the Renaissance period. Descriptions of bronze as a material and the techniques of production are complemented by an extensive alloy analysis. In addition, the book includes a section describing the methodology of the technical research, an appendix revealing the results and a summary table of dated bells. <br><br>Due to the range of the V&amp;A's collection, Bells and Mortars is able to provide substantial information on related pieces, and touches on the inter-relationship between sculptural bronze production and the decorative arts. It is the first volume in English devoted to this subject, and line drawing, X-ray photographs and contemporary engravings add to its blend of contextual and scientific data. <br><br>This elegantly designed volume will be invaluable to scholars, students and collectors alike, and will provide new insights for anyone with an interest in sculpture and the decorative arts, or pharmaceutical history.",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bells and Mortars,0,V&A,,60.00,60.00,03/29/2016 00:00:00,12/31/2018 00:00:00,216,215,,,,,,,,|216|215|,,,,,,,,,,,,280mm x 210mm,Peta Motture,,240 pages,150 b/w 2 line,9781851773114,Hardback,,V&A Publishing,800,,,,,,,,,,bells mortars bronzes sculpture peta motture,9781851773114 Hardback V&A Publishing,Italian bronzes catalogue,"history and their domestic, religious or pharmaceutical uses",,,,"The V&amp;A's collection of Italian bronzes is unique in its size, variety and scope. This fully illustrated volume is a complete catalogue of the collection's 75 small bells, mortars and related utensils, such as footed bowls and vases. The pieces are set into the broader context of their history and their domestic, religious or pharmaceutical uses, particularly in the Renaissance period. Descriptions of bronze as a material and the techniques of production are complemented by an extensive alloy analysis. In addition, the book includes a section describing the methodology of the technical research, an appendix revealing the results and a summary table of dated bells. <br><br>Due to the range of the V&amp;A's collection, Bells and Mortars is able to provide substantial information on related pieces, and touches on the inter-relationship between sculptural bronze production and the decorative arts. It is the first volume in English devoted to this subject, and line drawing, X-ray photographs and contemporary engravings add to its blend of contextual and scientific data. <br><br>This elegantly designed volume will be invaluable to scholars, students and collectors alike, and will provide new insights for anyone with an interest in sculpture and the decorative arts, or pharmaceutical history.",,,0,2016/06/02 00:00:00,",157262,119399,155199,155198",,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/detail_047472.jpg,,,,,,,,,
50462,Master SKU,EAN,5052979126880,The Great Exhibitor: The Life and Work of Henry Cole,,,2,"'A substantial contribution to our understanding of Cole's achievements. Invaluable' - Apollo. <br><br>By the end of his life Henry Cole was recognised as a national institution, ""Old King Cole"", though he was also treated with caution as a ""playful monster"". He was a lifelong civil servant, in a period when civil servants could be buccaneers and reformers, rather than the modern impassive mandarins. Described as ""a clever agitator, and a public spirited fellow"", he waged many campaigns, moving from the Public Records to the Penny Post, to railway expansion, to patent law revision, to art and design reform. With Prince Albert, he created the Great Exhibition of 1851, and continued to organise international exhibitions for the remainder of his life. He was responsible for a national system of art and science education, and in collaboration with the Prince, developed the South Kensington area as the intellectual quarter of London. <br><br>The Victoria and Albert Museum, of which he was founding Director, remains his best-known memorial, and is a symbol of his mission to educate through the exhibition of objects. This book gives a rounded picture of an extraordinary man. Portrayed, not only as an exhibitor, museum director and educationalist, but also as a galvanic force administering salutary shocks over broad areas of Victorian life. Children's books, hackney cabs, public lavatories, choral singing, cookery, sewage disposal, to name a few subjects, all came under his critical gaze. In his peers, Cole aroused admiration and antipathy in equal measure. Today, he is remembered for his energy and creativity and an inimitable Victorian phenomenon.",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,The Great Exhibitor: The Life and Work of Henry Cole,0,V&A,,35.00,35.00,03/29/2016 00:00:00,31-December-2018,215,,,,,,,,,|215|,,,,,,,,,,,,234 x 156mm,Elizabeth Bonython & Anthony Burton,2003,256 pages,59 black and white,9781851773268,Hardback,,V&A Publishing,200,,,,,,,,,,great exhibitor cole henry museum victoria albert,9781851773268 hardback v&a publishing,1851773266 Elizabeth Bonython & Anthony Burton,Old King Cole commercial founder,Great Exhibition of 1851 founding director,,true,"'A substantial contribution to our understanding of Cole's achievements. Invaluable' - Apollo. <br><br>By the end of his life Henry Cole was recognised as a national institution, ""Old King Cole"", though he was also treated with caution as a ""playful monster"". He was a lifelong civil servant, in a period when civil servants could be buccaneers and reformers, rather than the modern impassive mandarins. Described as ""a clever agitator, and a public spirited fellow"", he waged many campaigns, moving from the Public Records to the Penny Post, to railway expansion, to patent law revision, to art and design reform. With Prince Albert, he created the Great Exhibition of 1851, and continued to organise international exhibitions for the remainder of his life. He was responsible for a national system of art and science education, and in collaboration with the Prince, developed the South Kensington area as the intellectual quarter of London. <br><br>The Victoria and Albert Museum, of which he was founding Director, remains his best-known memorial, and is a symbol of his mission to educate through the exhibition of objects. This book gives a rounded picture of an extraordinary man. Portrayed, not only as an exhibitor, museum director and educationalist, but also as a galvanic force administering salutary shocks over broad areas of Victorian life. Children's books, hackney cabs, public lavatories, choral singing, cookery, sewage disposal, to name a few subjects, all came under his critical gaze. In his peers, Cole aroused admiration and antipathy in equal measure. Today, he is remembered for his energy and creativity and an inimitable Victorian phenomenon.",,,0,2016/06/30 00:00:00,",148365,157122,155199,155372",,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/detail_050462.jpg,,,,,,,,,
52168,Master SKU,EAN,9781851773244,Brand.New,,,2,"Originally published to coincide with a major V&amp;A exhibition, Brand.New takes a challenging look at contemporary consumer culture and the proliferation of brand identities which affect all our daily lives in the 21st-century. Ranging from fashion, design to the media, Brand.New sets out some provocative and entertaining debates about brands, retail, design and consumption habits around the world. Key sections look at the economics and business of branding; personal and social identities in a global, commodified world; the shopping experience from mall to website and the ethical and social questions for both brand and consumer. Critics, historians, anthropologists, sociologists and designers as well as voices from the business world, offer a range of opinions on topics as diverse as shopping in China, fakes and counterfeiting, and the branding of personality. The design of the book reflects the dynamic character of its subject with over 200 colour illustrations. Essential for students and observers of modern culture, this book will appeal to anyone who shops as well as those with an interest in advertising, product design and fashion.",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Brand.New,0,V&A,,19.95,19.95,03/29/2016 00:00:00,12/31/2018 00:00:00,215,,,,,,,,,|215|,,,,,,,,,,,,287 x 250mm,"Jane Pavitt, ed.",2002,240 pages,200 colour,9781851773244,Paperback,,V&A Publishing,250,,,,,,,,,,brand new pavitt exhibition brands design consumer,9781851773244 paperback v&a publishing,consumer culture brand identities,"branding advertising, product design and fashion",,,true,"Originally published to coincide with a major V&amp;A exhibition, Brand.New takes a challenging look at contemporary consumer culture and the proliferation of brand identities which affect all our daily lives in the 21st-century. Ranging from fashion, design to the media, Brand.New sets out some provocative and entertaining debates about brands, retail, design and consumption habits around the world. Key sections look at the economics and business of branding; personal and social identities in a global, commodified world; the shopping experience from mall to website and the ethical and social questions for both brand and consumer. Critics, historians, anthropologists, sociologists and designers as well as voices from the business world, offer a range of opinions on topics as diverse as shopping in China, fakes and counterfeiting, and the branding of personality. The design of the book reflects the dynamic character of its subject with over 200 colour illustrations. Essential for students and observers of modern culture, this book will appeal to anyone who shops as well as those with an interest in advertising, product design and fashion.",,,0,2016/06/30 00:00:00,",82708,113225,113227,91717,113222",,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/detail_052168.jpg,,,,,,,,,
60218,Master SKU,EAN,5052979127955,Fashion in Detail: World Dress (paperback),,GBP,14,"From the mountains of Montenegro to the shores of South-East Asia and beyond, the V&amp;A's renowed worlds dress collection is highlighted in <i>World Dress Fashion in Detail. </i>The book, part of the V&amp;A Fashion in Detail series, explores silk embroidery from Indonesia, applied metal braid and cord fastenings from Albania, as well as elaborate patchwork from Tibet, India, Korea and Iran. Specially commissioned photographs, authoritative text and line drawings showcase the breathtaking richness of detail that will delight and inspire anyone interested in dress.<br>",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Fashion in Detail: World Dress (paperback),0,,,19.99,19.99,,,217,218,,,,,,,,|217|218|,,,,,,,,,,,,22.9 x 1.6 x 29.8 cm,"Rosemary Crill, Jennifer Wearden and Verity Wilson",,224 pages,,9781851775682,Paperback,,V&A Publishing,50,,,,,,,,,,World Dress Fashion in Detail series,Rosemary Crill Jennifer Wearden Verity Wilson,9781851775682 paperback,V&A Publishing,"photographs Tibet, India, Korea and Iran",,true,"From the mountains of Montenegro to the shores of South-East Asia and beyond, the V&amp;A's renowed worlds dress collection is highlighted in <i>World Dress Fashion in Detail. </i>The book, part of the V&amp;A Fashion in Detail series, explores silk embroidery from Indonesia, applied metal braid and cord fastenings from Albania, as well as elaborate patchwork from Tibet, India, Korea and Iran. Specially commissioned photographs, authoritative text and line drawings showcase the breathtaking richness of detail that will delight and inspire anyone interested in dress.<br>",,,0,,"122200,146469,124654,2912,153392,155133",,,,,,,,,,,,,,,,,,https://s3-eu-west-1.amazonaws.com/clientfileuploads/prod_image/26/productimages/60218.jpg,,https://s3-eu-west-1.amazonaws.com/clientfileuploads/prod_image/26/productimages/60218_a.jpg,https://s3-eu-west-1.amazonaws.com/clientfileuploads/prod_image/26/productimages/60218_b.jpg,https://s3-eu-west-1.amazonaws.com/clientfileuploads/prod_image/26/productimages/60218_c.jpg,,,,,
60225,Master SKU,EAN,9781851773954,British Sculpture 1470-2000,,,11,"A catalogue featuring the unrivalled collection of post-medieval British sculpture in the V&A. The collection encompasses marble portrait busts and figures, sculpture in wood, terracotta, bronze, lead and plaster, as well as a number of outstanding sculptors' models. Its greatest strengths lie in works from the seventeenth, eighteenth and nineteenth centuries, and virtually every major sculptor active in Britain during this period is represented  among them Nicholas Stone, John Michael Rysbrack, Louis François Roubiliac, Joseph Wilton, John Flaxman and Alfred Stevens. A total of 770 pieces by 189 sculptors are included, more than a third of which have never been published before. The catalogue is wide-ranging and scholarly and will serve both as an invaluable work of reference and a history of the great tradition of sculpture in Britain over 400 years.",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,British Sculpture 1470-2000,0,V&A,,60.00,60.00,03/29/2016 00:00:00,31-December-2018,217,,215,,,,,,,|217|215|,,,,,,,,,,,,276 x 219mm,Diane Bilbey,,504 pages,775 black and white,9781851773954,Hardback,,V&A Publishing,550,,,,,,,,,,9781851773954 hardback v&a publishing,british sculpture 1470 2000 bilbey post-medieval,europe european britain uk united kindgom,statue statues fifteenth sixteenth seventeenth,eighteenth nineteenth twentieth century traditional,,,"A catalogue featuring the unrivalled collection of post-medieval British sculpture in the V&amp;A. The collection encompasses marble portrait busts and figures, sculpture in wood, terracotta, bronze, lead and plaster, as well as a number of outstanding sculptors' models. Its greatest strengths lie in works from the seventeenth, eighteenth and nineteenth centuries, and virtually every major sculptor active in Britain during this period is represented  among them Nicholas Stone, John Michael Rysbrack, Louis François Roubiliac, Joseph Wilton, John Flaxman and Alfred Stevens. A total of 770 pieces by 189 sculptors are included, more than a third of which have never been published before. The catalogue is wide-ranging and scholarly and will serve both as an invaluable work of reference and a history of the great tradition of sculpture in Britain over 400 years.",,,0,2016/06/30 00:00:00,",28227,90387,155198,155199",,,,,,,,,,,,,,,,,,https://imageresizecloudsearch.s3-eu-west-1.amazonaws.com/vamshop/original/detail_060225.jpg,,,,,,,,,
62311,Master SKU,EAN,9780723247708,The Tale of Peter Rabbit,,,0,"The Tale of Peter Rabbit was first published by Frederick Warne in 1902 and endures as Beatrix Potter's most popular and well-loved tale. It tells the story of a very mischievous rabbit and the trouble he encounters in Mr McGregor's vegetable garden! <br><br>Re-originated in 2002 to mark the centenary of publication bringing it closer to the original edition, six illustrations were restored, four that were removed in 1903 to make room for end-papers and two that have never been used before, Beatrix having initially prepared more illustrations than could be accommodated in the original format.&nbsp;<div><br>Written and illustrated by Beatrix Potter (1866-1943). Her passion forthe natural world lay behind the creation of her famous little books. Aparticular source of inspiration was the Lake District where she livedfor the last thirty years of her life as a farmer and conservationist.<br></div>",,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,The Tale of Peter Rabbit,0,V&A,,5.99,5.99,03/29/2016 00:00:00,12/25/2018 00:00:00,223,221,,,,,,,,|223|221|,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,peter rabbit beatrix potter tom kitten squirrel,kids reading children bedtime stories,,,,,true,"The Tale of Peter Rabbit was first published by Frederick Warne in 1902 and endures as Beatrix Potter's most popular and well-loved tale. It tells the story of a very mischievous rabbit and the trouble he encounters in Mr McGregor's vegetable garden! <br><br>Re-originated in 2002 to mark the centenary of publication bringing it closer to the original edition, six illustrations were restored, four that were removed in 1903 to make room for end-papers and two that have never been used before, Beatrix having initially prepared more illustrations than could be accommodated in the original format.&nbsp;<div><br>Written and illustrated by Beatrix Potter (1866-1943). Her passion forthe natural world lay behind the creation of her famous little books. Aparticular source of inspiration was the Lake District where she livedfor the last thirty years of her life as a farmer and conservationist.<br></div>",,,0,2016/06/30 00:00:00,",146183,146505,146186,146187,146185",,,,,,,,,,,,,,,,,,https://s3-eu-west-1.amazonaws.com/clientfileuploads/prod_image/26/productimages/62311_new.jpg,,,,,,,,,
